Produto,Categoria do Produto,Quantidade,Preço Unitário,Nome da Loja,Forma de Pagamento,Estado da Loja,Cidade da Loja,Preço Total
Impressora,Informática,1,3066.86,Loja Centro,Crédito,BA,São Paulo,3066.86
Mouse,Acessórios,9,2602.43,Loja Sul,Débito,BA,Porto Alegre,23421.87
Tablet,Informática,6,4636.03,Loja Sul,Boleto,BA,Porto Alegre,27816.18
Teclado,Eletrônicos,5,2629.34,Loja Oeste,Débito,MG,Salvador,13146.7
Impressora,Acessórios,6,4953.05,Loja Oeste,Débito,BA,Porto Alegre,29718.300000000003
Smartwatch,Informática,6,2570.68,Loja Centro,Débito,RJ,São Paulo,15424.079999999998
Headset,Informática,1,623.47,Loja Leste,Boleto,MG,Porto Alegre,623.47
Impressora,Acessórios,5,2378.83,Loja Centro,Débito,MG,Rio de Janeiro,11894.15
Tablet,Informática,9,952.53,Loja Oeste,Débito,RJ,Rio de Janeiro,8572.77
Teclado,Informática,4,3005.81,Loja Norte,Crédito,RS,São Paulo,12023.24
Mouse,Eletrônicos,3,3481.0,Loja Centro,Crédito,BA,Porto Alegre,10443.0
Tablet,Eletrônicos,1,2368.75,Loja Centro,Crédito,SP,Porto Alegre,2368.75
Tablet,Eletrônicos,2,533.63,Loja Leste,Boleto,RS,Porto Alegre,1067.26
Headset,Eletrônicos,3,2369.77,Loja Oeste,Débito,BA,Rio de Janeiro,7109.3099999999995
Monitor,Eletrônicos,4,453.2,Loja Centro,Débito,SP,São Paulo,1812.8
Teclado,Eletrônicos,7,3426.52,Loja Norte,Crédito,MG,Salvador,23985.64
Smartphone,Acessórios,6,3962.32,Loja Norte,Débito,MG,Rio de Janeiro,23773.920000000002
Tablet,Eletrônicos,8,4813.78,Loja Sul,Boleto,MG,São Paulo,38510.24
Monitor,Informática,9,786.57,Loja Oeste,Débito,BA,São Paulo,7079.13
Smartphone,Acessórios,6,2685.48,Loja Norte,Crédito,RJ,Salvador,16112.880000000001
Teclado,Informática,7,2859.31,Loja Leste,Boleto,MG,Belo Horizonte,20015.17
Laptop,Eletrônicos,4,4616.26,Loja Oeste,Débito,MG,Salvador,18465.04
Smartwatch,Eletrônicos,2,3155.02,Loja Norte,Débito,MG,Salvador,6310.04
Monitor,Informática,9,770.27,Loja Centro,Débito,BA,São Paulo,6932.43
Webcam,Informática,9,2209.94,Loja Oeste,Boleto,SP,Belo Horizonte,19889.46
Laptop,Informática,4,3291.07,Loja Norte,Débito,RS,Belo Horizonte,13164.28
Smartwatch,Periféricos,3,3516.41,Loja Centro,Crédito,MG,Porto Alegre,10549.23
Headset,Periféricos,6,4322.22,Loja Sul,Crédito,RS,Salvador,25933.32
Impressora,Periféricos,3,943.51,Loja Oeste,Crédito,RJ,Salvador,2830.5299999999997
